total_borrows,total_returns,on_time_returns,late_returns,damage_count,lost_count,total_fines,unpaid_fines,risk_score,risk_tier
43,36,23,13,5,5,5407120,4421740,6.91,High
2,2,0,2,3,1,1348897,225121,5.15,Medium
36,5,3,2,3,4,2168972,2084820,5.2,Medium
50,1,1,0,10,3,4490372,1422533,5.46,Medium
6,3,3,0,5,4,2957549,2325452,4.22,Medium
20,10,3,7,10,1,3773836,2201072,7.06,High
8,3,3,0,6,5,3986127,1785430,5.14,Medium
38,14,7,7,8,4,4967555,1393488,6.67,High
17,5,1,4,9,4,4200557,928252,7.24,High
3,1,0,1,4,5,2942198,587073,6.79,High
24,16,8,8,8,1,3775955,600338,5.81,Medium
13,13,3,10,3,5,3473987,547026,6.04,High
49,37,33,4,9,0,2075306,74231,4.23,Medium
8,2,1,1,1,3,1196870,73606,3.72,Medium
25,24,14,10,2,5,3687494,3632245,5.82,Medium
1,1,1,0,10,1,2711372,1352382,3.8,Medium
19,14,3,11,0,2,1006652,380457,4.43,Medium
27,10,5,5,5,0,703253,227369,3.59,Medium
46,7,6,1,5,2,2183307,1850131,4.45,Medium
6,1,1,0,0,5,3248784,493896,3.25,Medium
43,43,11,32,10,0,3420312,2253840,6.72,High
7,4,2,2,2,3,1425974,495898,3.99,Medium
46,5,4,1,4,5,3875330,3419054,5.87,Medium
34,25,17,8,2,3,1008445,876801,4.54,Medium
13,5,4,1,9,4,3277125,3113534,5.67,Medium
16,3,2,1,2,2,776536,455229,3.11,Medium
35,18,0,18,9,0,1616039,162403,6.12,High
49,19,2,17,2,3,1558184,701458,6.0,Medium
39,32,25,7,4,1,1439270,1074704,3.42,Medium
3,3,3,0,4,3,910565,31556,3.33,Medium
1,0,0,0,3,1,1053678,576250,1.92,Low
5,3,3,0,0,5,2529604,1662918,3.38,Medium
41,0,0,0,4,0,937370,517200,2.6,Low
3,1,1,0,9,3,2734080,1596963,4.54,Medium
28,13,13,0,4,3,3062361,1284519,3.33,Medium
17,5,1,4,3,0,406029,405932,4.54,Medium
25,4,3,1,5,3,2522116,183683,4.09,Medium
43,10,1,9,9,1,1140240,532125,6.4,High
33,12,6,6,3,3,1054632,936663,5.65,Medium
9,2,0,2,6,2,2283214,1960220,6.6,High
35,32,4,28,6,5,5071905,3000264,8.19,High
13,5,5,0,1,4,2988111,772291,3.23,Medium
30,17,12,5,2,1,1378621,1033879,3.27,Medium
47,9,8,1,0,2,1597355,626701,2.63,Low
14,4,3,1,7,5,1583014,51012,5.23,Medium
7,6,4,2,8,0,721629,130193,3.57,Medium
13,9,7,2,3,1,623509,218168,2.65,Low
22,11,6,5,5,4,1794487,148178,4.75,Medium
39,1,0,1,8,5,4209900,58123,8.05,High
20,12,3,9,5,4,3974104,2208977,6.98,High
15,7,1,6,8,0,771521,533008,5.69,Medium
44,1,0,1,3,0,1203145,770391,5.33,Medium
17,0,0,0,7,1,2788984,2322018,3.82,Medium
46,36,5,31,8,3,3297722,3121360,6.91,High
23,8,0,8,3,0,646086,150862,4.7,Medium
25,16,1,15,4,5,2115353,715003,6.43,High
24,8,2,6,7,3,1620477,178446,6.2,High
44,10,4,6,9,2,1408792,698267,6.26,High
40,14,4,10,5,4,3256434,296956,6.03,High
28,23,0,23,6,3,2590482,836002,6.88,High
14,5,3,2,2,4,1922410,1361621,4.6,Medium
44,34,22,12,6,3,5132896,1170642,5.93,Medium
0,0,0,0,7,2,2932824,390508,3.6,Medium
24,16,14,2,9,0,2991082,1754187,4.31,Medium
6,4,2,2,5,2,1288531,36160,4.03,Medium
8,1,1,0,9,0,1437870,19156,2.85,Low
23,13,2,11,8,0,2088313,1124784,5.96,Medium
0,0,0,0,5,4,1299686,473196,3.63,Medium
43,10,5,5,8,5,1365882,465536,6.92,High
7,0,0,0,3,2,1773961,673289,2.99,Low
23,1,1,0,7,3,3211659,459822,3.73,Medium
10,2,1,1,10,2,2653608,1279802,6.24,High
50,34,28,6,3,4,2743815,1814630,5.24,Medium
16,0,0,0,1,0,253539,199547,1.0,Low
7,7,1,6,9,4,1544407,719701,7.79,High
34,21,11,10,10,1,2176943,881809,5.83,Medium
34,28,8,20,8,1,1593060,305007,5.63,Medium
32,7,0,7,4,3,1337294,737197,6.6,High
4,2,0,2,3,4,4096897,2162591,6.14,High
41,40,19,21,1,3,3031577,645649,4.79,Medium
38,36,7,29,0,3,3476124,212986,4.76,Medium
40,13,10,3,10,1,2048992,1245862,5.88,Medium
27,27,11,16,6,3,2887075,1931184,6.02,High
6,5,0,5,5,1,1191558,29777,5.5,Medium
8,2,0,2,1,0,312291,256427,3.9,Medium
7,4,3,1,7,4,2035520,1730119,5.5,Medium
11,4,3,1,10,3,4638490,4614965,6.37,High
33,4,0,4,3,1,1621256,198110,4.96,Medium
32,18,10,8,7,2,2974884,1033981,5.26,Medium
47,13,4,9,6,3,2967858,414627,6.83,High
22,3,2,1,4,5,4845873,2803089,5.97,Medium
23,12,4,8,9,0,1064239,278011,5.2,Medium
36,24,11,13,9,0,1676735,1635365,4.99,Medium
34,17,4,13,7,2,2264435,690568,5.9,Medium
43,39,27,12,8,1,3524115,1694408,4.77,Medium
39,7,6,1,4,3,3782345,3570157,4.42,Medium
21,6,6,0,9,1,1632992,559650,4.14,Medium
26,7,5,2,4,0,1316823,250449,3.22,Medium
34,13,11,2,1,1,1195701,313732,3.23,Medium
0,0,0,0,4,0,519161,169357,1.64,Low
34,31,26,5,2,1,1194768,780445,3.06,Medium
36,32,19,13,6,2,2550416,205827,4.45,Medium
46,22,17,5,9,4,6164005,3109823,6.52,High
13,0,0,0,4,2,1172050,342424,2.87,Low
2,0,0,0,7,2,3236105,1461659,3.59,Medium
0,0,0,0,0,4,1580009,842955,2.67,Low
4,0,0,0,2,4,2840910,2050241,3.77,Medium
25,0,0,0,2,3,1664054,923882,3.47,Medium
13,6,5,1,8,3,3333635,740045,4.52,Medium
38,1,1,0,4,2,2541700,1156245,3.59,Medium
26,13,8,5,8,2,3717183,732318,5.45,Medium
8,4,4,0,8,0,2426040,158998,3.3,Medium
14,7,3,4,0,0,124515,103215,2.62,Low
14,7,1,6,1,3,2411029,622995,5.24,Medium
25,18,0,18,4,5,2172801,2003011,7.46,High
41,38,34,4,3,5,2845782,1990094,4.68,Medium
12,2,1,1,9,3,3404917,2342999,6.51,High
50,5,4,1,8,0,1375010,1276120,4.61,Medium
31,5,4,1,6,0,1201279,976006,3.17,Medium
38,2,2,0,5,5,5426192,5068472,5.81,Medium
48,6,4,2,6,1,1011860,267614,4.55,Medium
31,18,0,18,0,1,1608572,1276043,4.76,Medium
3,3,0,3,0,0,327821,146025,4.16,Medium
29,9,2,7,7,1,1170678,956011,6.18,High
36,14,13,1,1,4,1303917,792955,3.59,Medium
22,14,11,3,9,3,5216200,1266571,5.25,Medium
38,28,9,19,10,3,6082990,1761126,7.25,High
44,32,19,13,8,0,3129756,293313,4.7,Medium
14,3,0,3,6,2,3734853,1618505,6.26,High
42,29,17,12,5,5,2437820,154062,4.72,Medium
28,6,2,4,0,0,355197,29661,3.84,Medium
35,26,10,16,0,1,1685428,854032,3.87,Medium
12,3,1,2,1,5,2706419,1676483,5.41,Medium
31,28,1,27,5,2,2975201,2654525,6.78,High
6,5,0,5,5,1,1437184,1145640,5.56,Medium
50,32,28,4,1,4,2576636,706014,3.95,Medium
21,4,0,4,0,1,814064,399346,4.24,Medium
27,26,6,20,9,4,2416104,133114,6.51,High
1,0,0,0,4,5,3029871,2953718,4.06,Medium
41,32,30,2,4,4,2879185,491638,4.04,Medium
44,3,3,0,1,5,2934121,2654917,4.69,Medium
5,5,2,3,5,5,2190226,1887717,6.33,High
27,1,1,0,8,5,5059827,684076,5.0,Medium
27,9,6,3,1,5,1047658,340281,3.7,Medium
43,4,3,1,9,5,3172819,139133,6.31,High
43,9,5,4,1,1,1122152,765710,3.63,Medium
19,0,0,0,2,5,2959347,345165,3.55,Medium
29,21,19,2,6,1,1129480,270001,3.84,Medium
10,5,5,0,5,5,4150857,1715556,4.58,Medium
27,12,12,0,7,4,3599246,1581041,4.61,Medium
24,14,3,11,7,5,5851815,4617631,7.74,High
38,35,15,20,5,2,3743804,3397570,5.86,Medium
32,23,17,6,10,5,5017591,1399298,6.41,High
0,0,0,0,9,5,4067895,1662805,5.23,Medium
26,19,9,10,2,4,1599301,782409,5.29,Medium
12,7,3,4,2,3,1347555,344572,3.96,Medium
40,14,6,8,0,4,2148234,650332,4.89,Medium
2,0,0,0,6,2,2328105,713391,3.56,Medium
38,7,7,0,4,3,2348625,1561232,4.03,Medium
5,4,1,3,3,0,783537,505350,4.13,Medium
7,4,4,0,9,0,562970,337164,3.15,Medium
26,14,0,14,3,2,2328830,2234967,6.18,High
8,3,2,1,3,4,1890079,627763,4.45,Medium
36,11,7,4,5,1,2300615,49476,3.96,Medium
32,1,0,1,7,2,944904,747465,7.36,High
50,26,5,21,7,3,4211300,2817754,7.62,High
41,30,4,26,4,3,5165886,2781460,7.16,High
43,35,21,14,5,5,2239606,1255959,6.42,High
23,3,2,1,3,0,582991,69093,3.1,Medium
14,9,1,8,10,3,1890457,1641987,7.81,High
31,10,0,10,8,2,3502628,2113687,7.37,High
31,26,22,4,7,3,3233742,2425786,5.03,Medium
23,4,1,3,9,2,2608463,1619426,6.6,High
40,19,10,9,9,1,2571075,1429762,5.45,Medium
48,10,9,1,0,5,3624197,256323,3.37,Medium
48,9,1,8,1,0,342642,258916,4.3,Medium
11,7,1,6,8,3,1175301,713895,6.6,High
38,37,16,21,7,2,4671102,2138421,6.37,High
1,1,1,0,2,4,2522829,1129250,2.94,Low
2,2,2,0,7,0,1996874,828894,3.12,Medium
48,46,39,7,0,1,894177,285291,2.34,Low
36,25,16,9,9,2,4184875,2535896,5.73,Medium
48,45,11,34,3,5,3959101,1649959,7.23,High
16,10,10,0,2,5,3771435,2865612,4.28,Medium
48,11,7,4,5,1,2600392,2188077,4.83,Medium
1,1,0,1,6,1,2016786,590669,5.65,Medium
1,0,0,0,3,5,1734442,1672332,3.56,Medium
27,7,5,2,6,3,1826670,1290906,4.92,Medium
22,17,3,14,8,3,2285307,1062307,6.77,High
36,24,0,24,10,2,2602035,1435367,8.05,High
31,0,0,0,1,4,1558751,1540450,3.11,Medium
32,11,0,11,10,2,3499621,1689576,8.2,High
0,0,0,0,2,4,2452319,265976,2.92,Low
18,11,2,9,4,1,1497588,12467,4.46,Medium
1,1,0,1,2,0,573923,41025,3.79,Medium
43,3,3,0,10,2,1395867,1192755,5.13,Medium
25,4,4,0,7,2,991599,77994,3.36,Medium
31,23,15,8,9,4,2189172,94202,5.82,Medium
5,4,4,0,7,1,1993923,567769,3.09,Medium
31,7,0,7,7,1,1296862,444854,6.65,High
3,2,1,1,8,4,2438579,160185,5.99,Medium
10,9,1,8,3,1,1429960,84363,4.44,Medium
16,16,5,11,4,5,4952299,1958615,6.28,High
37,27,8,19,4,3,1053883,325188,5.15,Medium
23,8,0,8,7,5,4786156,978534,7.13,High
4,2,0,2,6,0,1524173,273958,4.82,Medium
33,28,24,4,8,2,3692505,3507212,5.73,Medium
5,5,4,1,7,0,2299131,895668,3.67,Medium
21,7,0,7,1,2,543600,269579,5.21,Medium
10,8,4,4,9,3,1870101,984588,5.45,Medium
47,21,12,9,3,1,2264931,255095,3.89,Medium
15,10,8,2,5,5,3104023,481632,4.6,Medium
32,22,10,12,1,4,2924224,1309752,5.0,Medium
8,0,0,0,6,5,4135932,3528743,5.12,Medium
5,5,3,2,2,3,2376110,2346869,4.0,Medium
15,4,1,3,2,0,804630,658767,4.02,Medium
28,20,5,15,10,4,7245486,4031103,8.31,High
2,1,1,0,1,1,906871,32940,1.41,Low
19,13,3,10,10,3,2825376,529954,6.97,High
35,35,18,17,7,4,5778830,4050807,7.32,High
18,0,0,0,5,3,1023244,156164,4.0,Medium
25,21,5,16,0,3,1465312,916185,4.97,Medium
2,2,1,1,0,1,974776,909834,3.12,Medium
18,18,17,1,6,2,1539003,206717,3.52,Medium
19,7,4,3,7,4,2205137,1411910,6.18,High
31,14,8,6,4,1,978315,362612,3.75,Medium
6,4,2,2,10,3,5050023,4061367,7.09,High
40,8,0,8,4,1,1624281,26505,5.6,Medium
32,8,7,1,3,2,1992695,1609577,4.16,Medium
39,9,5,4,5,5,2423487,829601,6.21,High
38,25,6,19,5,4,5074946,1650375,6.7,High
17,8,8,0,2,2,1963665,969246,2.65,Low
39,34,20,14,8,0,1664210,212204,4.83,Medium
0,0,0,0,10,4,3229826,2346988,5.43,Medium
10,3,2,1,6,2,1387981,758849,4.22,Medium
27,24,0,24,0,3,4196550,528168,5.43,Medium
24,10,9,1,6,4,3640620,2533822,5.4,Medium
49,37,6,31,4,4,6328273,973215,6.32,High
22,1,0,1,4,1,1147953,567827,5.72,Medium
30,6,4,2,1,3,2337305,2337208,4.49,Medium
29,17,0,17,3,0,2025532,1267633,5.57,Medium
41,26,16,10,5,5,4641988,3684815,6.42,High
34,33,31,2,9,2,4328893,2026182,5.04,Medium
6,2,0,2,10,1,2144089,443942,6.59,High
15,0,0,0,6,2,1233827,48784,3.57,Medium
25,10,2,8,10,0,2692322,2210186,6.55,High
47,43,43,0,4,0,999063,960837,2.62,Low
48,23,5,18,8,4,4740760,2531196,7.95,High
1,0,0,0,2,0,271920,200598,2.12,Low
0,0,0,0,0,2,1075665,53997,1.92,Low
47,6,1,5,3,3,1759169,181413,6.39,High
11,3,2,1,8,3,2707710,1460865,5.66,Medium
4,4,2,2,3,4,3093931,1413119,5.3,Medium
36,23,7,16,1,5,4248849,800981,5.85,Medium
31,0,0,0,9,2,1786073,843352,4.67,Medium
8,0,0,0,4,2,1527154,740686,3.03,Medium
40,28,13,15,2,0,914943,468731,3.74,Medium
34,21,13,8,8,2,1657440,784752,5.58,Medium
18,17,9,8,3,1,2031360,1462108,3.84,Medium
47,20,1,19,5,5,6245990,5074596,9.19,High
15,0,0,0,1,0,232448,24624,1.22,Low
2,2,1,1,5,1,1927991,1766451,4.56,Medium
19,16,8,8,2,4,3908755,3904800,5.99,Medium
23,19,2,17,8,3,5443342,570993,6.8,High
32,19,7,12,10,4,2474842,1662190,7.06,High
23,21,15,6,1,3,3173237,846822,4.05,Medium
10,5,1,4,8,4,3148622,2165521,7.19,High
48,27,5,22,4,2,2221935,1250469,6.25,High
7,6,3,3,7,1,811481,271733,4.45,Medium
35,6,4,2,1,3,1702499,1685876,4.78,Medium
37,0,0,0,5,0,670136,647999,2.32,Low
39,31,28,3,2,1,738377,76425,2.91,Low
19,12,9,3,9,0,1352750,496297,4.57,Medium
34,29,24,5,4,1,2136452,1588858,3.77,Medium
47,22,11,11,7,1,3562472,1018543,5.48,Medium
24,18,4,14,9,4,3222096,111915,6.9,High
34,18,1,17,0,3,3179065,385105,5.35,Medium
24,16,15,1,4,3,3324220,2580566,3.73,Medium
28,12,4,8,2,1,1649006,1153248,4.19,Medium
17,15,14,1,3,2,850918,813071,2.85,Low
45,39,35,4,1,2,1841963,1327925,3.57,Medium
17,17,14,3,8,0,2584451,318821,3.49,Medium
1,0,0,0,2,0,526593,32930,1.31,Low
34,13,10,3,1,4,1640355,1121889,4.07,Medium
15,2,2,0,9,1,2332799,749211,3.62,Medium
40,1,1,0,10,0,2387518,1993384,4.56,Medium
35,27,13,14,8,0,2287373,1144634,5.23,Medium
32,29,17,12,6,5,2134036,609654,6.25,High
3,1,1,0,5,1,1057329,537691,2.87,Low
32,3,2,1,0,4,2726391,772838,4.28,Medium
13,0,0,0,4,0,1172327,261420,2.1,Low
20,7,2,5,10,4,2003363,477843,6.98,High
47,28,12,16,10,3,6350154,4529943,7.61,High
19,6,4,2,2,4,2012689,163004,3.91,Medium
7,2,2,0,0,2,1106794,358234,2.0,Low
6,1,0,1,3,2,2071052,1347421,5.33,Medium
2,1,0,1,1,4,2929517,396601,5.94,Medium
16,13,4,9,1,2,2439028,1825260,4.55,Medium
32,32,14,18,2,3,2163940,2065306,5.6,Medium
47,22,3,19,7,1,3931512,581529,6.43,High
11,6,2,4,7,2,1330752,665727,5.23,Medium
50,27,18,9,6,2,3265202,2162182,5.4,Medium
21,17,14,3,5,4,3796023,1212980,4.23,Medium
21,6,3,3,8,3,3764300,3099834,6.45,High
45,28,20,8,3,1,1033162,207397,3.46,Medium
29,7,4,3,0,4,3076524,2576854,4.44,Medium
37,0,0,0,7,4,2008809,1467355,5.51,Medium
37,2,1,1,6,5,1597191,105185,6.5,High
44,23,18,5,6,3,3544185,3182132,5.92,Medium
50,22,1,21,2,1,1945879,55182,5.54,Medium
7,2,1,1,3,3,2886885,1677465,4.29,Medium
26,7,4,3,9,1,1871326,703023,5.07,Medium
26,21,3,18,8,3,2069071,852318,6.78,High
33,2,0,2,5,4,4143688,3792018,7.31,High
20,18,13,5,4,4,3077183,2443144,4.9,Medium
29,0,0,0,2,0,395352,319836,1.89,Low
32,27,26,1,8,2,3359002,1872508,4.71,Medium
27,14,12,2,4,5,3258299,2917369,6.07,High
46,7,6,1,4,3,2559545,608434,4.34,Medium
32,31,27,4,3,5,2830230,1006630,4.69,Medium
4,2,2,0,3,0,787143,488195,1.8,Low
47,15,7,8,0,2,1979013,572285,4.37,Medium
18,3,3,0,6,3,3239873,144375,3.47,Medium
3,3,1,2,8,1,1190013,35187,5.59,Medium
34,20,3,17,2,2,2988109,989280,5.29,Medium
48,13,13,0,1,4,2438965,657253,3.58,Medium
16,15,1,14,2,0,1384783,1086666,4.83,Medium
43,17,1,16,0,2,1395286,982426,5.02,Medium
27,6,0,6,5,2,3131695,1518560,6.63,High
29,9,3,6,10,4,5250296,1894420,7.91,High
28,6,1,5,10,3,1665134,777766,7.21,High
45,32,24,8,6,1,1840096,1366750,5.16,Medium
5,4,2,2,10,4,5675306,541797,6.46,High
34,18,6,12,10,1,1157620,68653,6.24,High
40,18,11,7,1,3,3094010,692289,4.66,Medium
36,35,9,26,7,2,4365915,3537498,7.34,High
23,17,6,11,5,1,2285812,1242222,5.04,Medium
28,1,0,1,3,0,631267,299345,5.19,Medium
48,0,0,0,4,0,516486,223354,3.24,Medium
45,4,0,4,7,4,5381522,3684032,8.11,High
30,19,9,10,2,3,1650104,287166,4.05,Medium
34,10,9,1,2,4,3218203,1804898,4.21,Medium
32,1,1,0,10,4,3256719,552226,4.88,Medium
20,2,1,1,3,5,1750123,1223326,5.4,Medium
31,22,6,16,0,4,992200,904603,5.29,Medium
22,22,21,1,8,5,3975251,260710,5.1,Medium
32,11,0,11,7,0,2874069,1280896,6.13,High
2,0,0,0,7,0,1288206,848152,2.53,Low
17,4,3,1,9,4,2962649,2809317,6.4,High
24,5,4,1,5,0,981128,657346,2.94,Low
41,29,9,20,6,3,3491542,3222206,6.22,High
30,8,6,2,5,5,3087197,1453953,5.45,Medium
2,1,1,0,8,5,5568211,938193,5.15,Medium
39,34,20,14,2,4,3098985,1405419,5.08,Medium
45,21,21,0,2,0,564084,494527,2.04,Low
23,11,11,0,2,1,699402,361417,2.35,Low
49,23,8,15,9,5,7550050,1778244,8.05,High
31,16,8,8,2,4,1863347,1805064,5.28,Medium
46,9,9,0,8,4,1600482,588033,5.14,Medium
21,13,7,6,3,3,2725126,1180859,4.82,Medium
22,22,9,13,6,2,3145585,393445,4.64,Medium
1,1,1,0,8,2,2359402,1980425,3.77,Medium
26,16,15,1,10,5,3935626,3247217,6.12,High
41,16,16,0,6,3,3575327,556107,4.71,Medium
1,1,1,0,8,3,1741290,47779,4.12,Medium
25,8,4,4,2,3,2781523,2687024,5.07,Medium
16,7,3,4,3,5,3848046,1461742,5.24,Medium
39,1,1,0,7,2,1929718,1719109,4.66,Medium
32,24,23,1,5,3,2381382,1409993,4.67,Medium
8,6,2,4,4,0,819850,814468,4.22,Medium
42,8,3,5,3,4,3614037,3400685,6.41,High
47,21,6,15,7,4,4096148,2078937,7.51,High
38,3,1,2,0,1,504579,71356,3.94,Medium
28,25,24,1,8,1,2284800,2242516,4.62,Medium
41,28,17,11,0,5,4583069,527340,5.0,Medium
25,12,2,10,7,5,3751024,1355097,7.35,High
34,33,9,24,3,4,5416667,2055397,6.01,High
49,22,0,22,8,0,2030870,1247486,6.58,High
24,4,1,3,10,2,1402261,329963,6.67,High
23,10,4,6,4,2,1425335,1025607,4.81,Medium
12,5,0,5,2,5,2583387,1195268,6.24,High
6,1,0,1,8,0,1041629,30461,5.62,Medium
35,20,11,9,10,5,1764937,1015930,7.49,High
44,41,33,8,8,2,4212548,4151951,5.93,Medium
19,3,0,3,3,5,4293837,3155200,7.24,High
0,0,0,0,10,3,4216464,855695,4.64,Medium
7,0,0,0,3,5,1732834,112036,3.65,Medium
45,37,20,17,7,4,1933995,188674,5.53,Medium
15,1,0,1,1,5,1338518,287667,6.28,High
13,0,0,0,8,4,4341820,3831854,5.57,Medium
11,4,4,0,5,0,1565024,889694,2.55,Low
50,24,14,10,8,2,2605590,590348,6.01,High
22,5,2,3,7,1,1049374,663759,5.48,Medium
14,9,6,3,6,1,1891086,1371446,4.45,Medium
27,11,10,1,0,2,979881,355050,2.29,Low
33,22,9,13,2,1,1388334,1327252,4.09,Medium
1,0,0,0,10,5,4878552,909121,5.63,Medium
31,9,8,1,1,0,561923,475573,1.64,Low
22,21,13,8,4,0,764491,43162,3.29,Medium
21,20,12,8,4,2,981072,921253,4.44,Medium
50,26,24,2,4,1,2107156,273497,2.91,Low
24,24,24,0,3,5,1797812,112313,4.01,Medium
21,5,1,4,4,0,428330,28477,4.73,Medium
21,7,7,0,2,0,410197,155642,1.42,Low
48,33,6,27,0,3,1111595,86373,5.67,Medium
41,11,4,7,4,3,2161680,693464,5.31,Medium
5,4,1,3,8,0,2475419,718730,5.27,Medium
14,8,2,6,8,2,2326199,1577415,6.17,High
42,6,1,5,3,4,2646859,68359,6.16,High
36,9,5,4,2,4,2981994,473919,4.47,Medium
32,16,6,10,0,5,2939335,1358356,5.79,Medium
7,1,0,1,1,0,414923,291829,4.22,Medium
43,20,16,4,7,0,2199971,837566,4.59,Medium
43,27,10,17,0,0,320498,107967,3.12,Medium
4,1,0,1,7,2,3125088,94455,6.04,High
38,1,1,0,6,3,2431764,1509639,4.56,Medium
3,3,3,0,7,0,2330536,1223981,2.96,Low
5,5,5,0,5,0,915845,239646,2.48,Low
44,42,18,24,8,1,5118585,4384241,6.55,High
31,0,0,0,2,2,1847113,472312,3.48,Medium
29,18,3,15,9,5,3107929,2933340,8.35,High
46,35,25,10,3,0,1188527,385007,2.51,Low
34,25,5,20,5,1,3816389,2158344,5.83,Medium
39,28,9,19,7,4,5960134,835165,7.14,High
15,4,4,0,4,5,1505726,1283737,4.02,Medium
12,10,3,7,2,0,910056,812425,3.47,Medium
49,39,39,0,5,0,749670,685852,2.93,Low
41,10,4,6,3,1,595738,286287,4.14,Medium
29,3,0,3,8,2,2427211,2043683,7.12,High
18,16,3,13,2,0,713977,107044,4.27,Medium
16,6,2,4,3,4,3811300,1553749,6.06,High
18,7,0,7,6,0,1290033,181062,4.69,Medium
27,2,0,2,6,4,4546460,456104,6.98,High
25,21,5,16,3,5,1419092,69351,6.09,High
36,33,3,30,5,5,3516896,234085,7.15,High
25,22,12,10,2,3,1611664,758171,4.97,Medium
22,14,0,14,5,3,2126414,498095,5.82,Medium
8,7,3,4,1,4,1036233,70309,3.59,Medium
11,5,1,4,7,2,1461866,929950,6.51,High
0,0,0,0,1,0,196575,161805,1.49,Low
0,0,0,0,10,0,1547231,1167732,3.38,Medium
46,21,4,17,6,3,3083395,2435296,7.11,High
33,4,3,1,8,4,2777013,1490424,5.96,Medium
31,23,20,3,0,0,375720,21576,1.74,Low
47,32,7,25,7,0,3813045,3673336,6.51,High
24,3,1,2,6,2,2086173,666110,5.58,Medium
39,19,7,12,5,1,1756163,627290,5.66,Medium
44,18,17,1,5,3,1156218,1075148,4.71,Medium
0,0,0,0,5,3,3630378,1035865,3.99,Medium
15,2,2,0,8,1,960226,280092,3.1,Medium
38,16,11,5,1,0,517391,116528,2.68,Low
4,2,0,2,0,2,733180,694186,4.74,Medium
21,12,9,3,5,2,1669250,89051,3.34,Medium
28,10,2,8,9,3,1999121,814299,7.33,High
2,1,1,0,10,2,3750360,3337031,5.05,Medium
11,8,5,3,7,5,1862096,1795292,5.93,Medium
25,25,1,24,2,1,2400357,1830276,5.26,Medium
15,1,0,1,9,0,918845,203305,6.42,High
50,8,1,7,0,5,1377726,1355398,6.17,High
36,8,5,3,8,1,3376081,2554728,5.86,Medium
21,7,0,7,0,4,1536233,573722,5.59,Medium
28,16,2,14,2,3,3420201,2163769,6.17,High
13,0,0,0,7,2,2579453,641857,3.72,Medium
27,24,1,23,2,4,1526038,866164,6.85,High
4,4,3,1,3,2,2491043,1130070,3.16,Medium
46,42,7,35,7,5,3384501,1792841,7.74,High
48,39,21,18,0,0,1214246,601513,2.81,Low
29,9,9,0,5,0,710175,82867,2.34,Low
45,24,3,21,0,0,1528346,168600,4.43,Medium
4,2,0,2,0,2,415418,255669,5.04,Medium
11,2,0,2,7,4,3383669,1913980,7.65,High
15,1,0,1,10,0,2583686,1507394,6.6,High
25,4,0,4,3,4,4154202,2979845,6.75,High
25,11,6,5,0,2,1846565,615036,3.82,Medium
47,43,15,28,9,5,7563299,254265,7.21,High
20,18,9,9,6,4,5231486,4713797,6.29,High
38,29,29,0,4,5,1922115,164404,4.33,Medium
35,33,29,4,4,2,1387288,910913,3.2,Medium
32,11,8,3,0,2,852544,653817,2.78,Low
29,18,15,3,9,3,2837717,996433,5.9,Medium
36,36,11,25,10,2,3379389,2035286,6.54,High
22,11,0,11,5,2,2494057,2361547,6.18,High
9,0,0,0,8,1,1058303,682387,3.52,Medium
4,4,3,1,8,0,2003676,1145958,3.88,Medium
